epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2416,1.11699,1.9595,3.31611,1.20548,0,0.00333,1,0.40979,0.29392,0.00333,1,0.40979,0.25706,1.01565,1.56941,3.52833,1.23251,0,0.000333333,0.000333333,0.000333333
2,22.0596,1.39719,3.29231,2.90606,1.26177,0,0.00333,1,0.88667,0.29481,0.00278,0.83333,0.68045,0.24054,1.99076,4.5669,3.63416,1.59921,0,0.0009802,0.0009802,0.0009802
3,30.0932,1.62025,4.37965,3.14476,1.28228,0,0.00333,1,0.88667,0.29481,0.00278,0.83333,0.68045,0.24054,1.99076,4.5669,3.63416,1.59921,0,0.00160067,0.00160067,0.00160067
4,38.4139,1.73107,3.54547,2.87847,1.47075,0,0.00333,1,0.56118,0.18033,0.00056,0.16667,0.00196,0.0002,1.70278,19.9767,3.82355,1.67473,0,0.0018812,0.0018812,0.0018812
5,46.5482,1.75259,3.04639,3.62663,1.43709,0,0.00333,1,0.56118,0.18033,0.00056,0.16667,0.00196,0.0002,1.70278,19.9767,3.82355,1.67473,0,0.0018416,0.0018416,0.0018416
6,54.6445,1.90249,3.33638,3.06722,1.4779,0,0.00333,1,0.04059,0.01024,0.00278,0.83333,0.0115,0.00331,2.44312,6.45069,5.40884,2.37552,0,0.001802,0.001802,0.001802
7,62.7213,1.52825,2.2158,2.99206,1.33352,0,0.00333,1,0.04059,0.01024,0.00278,0.83333,0.0115,0.00331,2.44312,6.45069,5.40884,2.37552,0,0.0017624,0.0017624,0.0017624
8,70.8117,1.49404,1.53374,2.68585,1.30523,0,0.00278,0.83333,0.00486,0.00087,0,0,0,0,3.55246,18.373,7.5261,6.5021,0,0.0017228,0.0017228,0.0017228
9,79.2901,1.57617,1.31575,2.74451,1.3916,0,0.00278,0.83333,0.00486,0.00087,0,0,0,0,3.55246,18.373,7.5261,6.5021,0,0.0016832,0.0016832,0.0016832
10,87.2827,1.47523,2.43976,2.80824,1.33995,0,0.1604,0.16667,0.03628,0.024,0,0,0,0,3.11941,24.8428,10.9259,6.34774,0,0.0016436,0.0016436,0.0016436
11,95.3449,1.3076,3.46527,2.51806,1.2634,0,0.1604,0.16667,0.03628,0.024,0,0,0,0,3.11941,24.8428,10.9259,6.34774,0,0.001604,0.001604,0.001604
12,103.308,1.56318,2.31836,2.71697,1.34059,0,0.26988,0.16667,0.13528,0.06828,0.26988,0.16667,0.09221,0.04499,2.89913,9.45953,24.6711,8.10655,0,0.0015644,0.0015644,0.0015644
13,111.222,1.43086,0.99821,2.56331,1.27633,0,0.26988,0.16667,0.13528,0.06828,0.26988,0.16667,0.09221,0.04499,2.89913,9.45953,24.6711,8.10655,0,0.0015248,0.0015248,0.0015248
14,119.165,1.26398,0.98493,2.16901,1.2463,0,0.02205,0.33333,0.01136,0.00257,0.01924,0.33333,0.00931,0.00199,3.2363,13.8789,22.037,11.6603,0,0.0014852,0.0014852,0.0014852
15,127.052,1.32856,1.3975,2.52252,1.30101,0,0.02205,0.33333,0.01136,0.00257,0.01924,0.33333,0.00931,0.00199,3.2363,13.8789,22.037,11.6603,0,0.0014456,0.0014456,0.0014456
16,135.087,1.07584,1.06123,2.20702,1.13736,0,0.03307,0.33333,0.02424,0.00279,0.00723,0.16667,0.00176,0.00037,3.35416,23.4034,16.7734,10.0897,0,0.001406,0.001406,0.001406
17,143.092,1.09343,0.99958,1.75771,1.15921,0,0.03307,0.33333,0.02424,0.00279,0.00723,0.16667,0.00176,0.00037,3.35416,23.4034,16.7734,10.0897,0,0.0013664,0.0013664,0.0013664
18,150.372,1.1177,0.92075,1.7909,1.16841,0,0.04495,0.33333,0.04558,0.00615,0.02119,0.83333,0.01979,0.00446,3.74033,18.8433,40.7781,14.1138,0,0.0013268,0.0013268,0.0013268
19,157.545,0.93615,0.62365,1.79058,1.04144,0,0.04495,0.33333,0.04558,0.00615,0.02119,0.83333,0.01979,0.00446,3.74033,18.8433,40.7781,14.1138,0,0.0012872,0.0012872,0.0012872
20,165.548,1.01187,1.10531,1.88121,1.19894,0,0.10484,0.33333,0.081,0.03133,0.10484,0.33333,0.09467,0.05064,2.97116,5.6805,23.7101,4.02537,0,0.0012476,0.0012476,0.0012476
21,173.608,0.92113,0.78084,1.6536,1.05261,0,0.10484,0.33333,0.081,0.03133,0.10484,0.33333,0.09467,0.05064,2.97116,5.6805,23.7101,4.02537,0,0.001208,0.001208,0.001208
22,181.671,0.91975,0.62334,1.62556,1.05796,0,0.86927,0.33333,0.41891,0.17013,0.86927,0.33333,0.41891,0.24,2.32666,3.2948,4.69709,2.06022,0,0.0011684,0.0011684,0.0011684
23,189.709,0.89209,0.65159,1.38264,1.00263,0,0.86927,0.33333,0.41891,0.17013,0.86927,0.33333,0.41891,0.24,2.32666,3.2948,4.69709,2.06022,0,0.0011288,0.0011288,0.0011288
24,197.751,0.76971,0.71673,1.44318,1.0176,0,0.47983,0.5,0.46368,0.28155,0.3708,0.66667,0.57998,0.34501,1.92406,2.13914,3.48733,1.69174,0,0.0010892,0.0010892,0.0010892
25,205.725,0.75893,0.54837,1.34349,0.98867,0,0.47983,0.5,0.46368,0.28155,0.3708,0.66667,0.57998,0.34501,1.92406,2.13914,3.48733,1.69174,0,0.0010496,0.0010496,0.0010496
26,213.857,0.87829,1.11417,1.66346,1.07823,0,0.78388,0.61292,0.75236,0.44706,0.59094,0.96604,0.829,0.48217,1.58279,1.97717,2.76774,1.34059,0,0.00101,0.00101,0.00101
27,221.919,0.89494,0.83923,1.36135,1.00082,0,0.78388,0.61292,0.75236,0.44706,0.59094,0.96604,0.829,0.48217,1.58279,1.97717,2.76774,1.34059,0,0.0009704,0.0009704,0.0009704
28,229.946,0.87776,0.65911,1.24209,0.98366,0,0.99131,0.66667,0.76967,0.5381,0.79192,0.66667,0.80125,0.51864,1.47598,1.75024,2.76362,1.27725,0,0.0009308,0.0009308,0.0009308
29,237.737,0.87212,0.73416,1.54732,1.033,0,0.99131,0.66667,0.76967,0.5381,0.79192,0.66667,0.80125,0.51864,1.47598,1.75024,2.76362,1.27725,0,0.0008912,0.0008912,0.0008912
30,245.65,0.85918,0.68274,1.34138,1.04877,0,0.99207,0.66667,0.78218,0.57802,0.82848,0.80906,0.82551,0.54845,1.41579,1.75763,2.89103,1.28694,0,0.0008516,0.0008516,0.0008516
31,253.45,0.79807,0.59934,1.32592,1.01826,0,0.99207,0.66667,0.78218,0.57802,0.82848,0.80906,0.82551,0.54845,1.41579,1.75763,2.89103,1.28694,0,0.000812,0.000812,0.000812
32,261.36,0.71611,0.58579,1.22125,0.94464,0,0.82559,0.7946,0.82952,0.60483,0.82559,0.7946,0.91333,0.59495,1.1361,1.76441,2.50426,1.17186,0,0.0007724,0.0007724,0.0007724
33,269.247,0.70949,0.72712,1.19243,0.94848,0,0.82559,0.7946,0.82952,0.60483,0.82559,0.7946,0.91333,0.59495,1.1361,1.76441,2.50426,1.17186,0,0.0007328,0.0007328,0.0007328
34,277.145,0.72857,0.68461,1.2634,0.97189,0,1,0.8239,0.97214,0.65981,1,0.8239,0.97214,0.705,1.09641,1.35284,2.5178,1.08083,0,0.0006932,0.0006932,0.0006932
35,285.228,0.72952,0.97205,1.37289,0.96089,0,1,0.8239,0.97214,0.65981,1,0.8239,0.97214,0.705,1.09641,1.35284,2.5178,1.08083,0,0.0006536,0.0006536,0.0006536
36,293.439,0.58317,0.49234,1.16478,0.89948,0,0.82824,1,0.97214,0.73776,0.82824,1,0.97214,0.72973,0.78634,1.39201,2.53006,0.95388,0,0.000614,0.000614,0.000614
37,301.616,0.66897,0.55458,1.12501,0.94453,0,0.82824,1,0.97214,0.73776,0.82824,1,0.97214,0.72973,0.78634,1.39201,2.53006,0.95388,0,0.0005744,0.0005744,0.0005744
38,309.787,0.82545,0.59881,1.38607,0.97492,0,0.91206,1,0.995,0.82223,0.91206,1,0.995,0.76645,0.68192,1.53933,2.51001,0.92395,0,0.0005348,0.0005348,0.0005348
39,317.7,0.67625,0.53781,1.34035,0.95569,0,0.91206,1,0.995,0.82223,0.91206,1,0.995,0.76645,0.68192,1.53933,2.51001,0.92395,0,0.0004952,0.0004952,0.0004952
40,325.75,0.58807,0.5822,1.03467,0.93865,0,0.94811,1,0.995,0.86089,0.94811,1,0.995,0.79231,0.58896,1.4815,2.27019,0.89913,0,0.0004556,0.0004556,0.0004556
41,333.822,0.44732,0.46895,1.33149,0.7972,0,0.94811,1,0.995,0.86089,0.94811,1,0.995,0.79231,0.58896,1.4815,2.27019,0.89913,0,0.000416,0.000416,0.000416
42,341.957,0.49361,0.46022,1.31387,0.85311,0,1,0.97338,0.995,0.83893,1,0.97338,0.995,0.76886,0.53071,1.38558,2.09357,0.89351,0,0.0003764,0.0003764,0.0003764
43,349.835,0.47381,0.42984,1.27818,0.89588,0,1,0.97338,0.995,0.83893,1,0.97338,0.995,0.76886,0.53071,1.38558,2.09357,0.89351,0,0.0003368,0.0003368,0.0003368
44,357.786,0.51449,0.42488,1.3744,0.93372,0,0.84814,1,0.87643,0.78879,0.84814,1,0.87643,0.71815,0.51341,1.30097,1.96076,0.88282,0,0.0002972,0.0002972,0.0002972
45,365.583,0.44149,0.40831,1.26137,0.80656,0,0.84814,1,0.87643,0.78879,0.84814,1,0.87643,0.71815,0.51341,1.30097,1.96076,0.88282,0,0.0002576,0.0002576,0.0002576
46,373.316,0.48064,0.43798,1.33554,0.9434,0,0.84874,1,0.90071,0.84414,0.84874,1,0.90071,0.78318,0.46981,1.16077,1.81868,0.87609,0,0.000218,0.000218,0.000218
47,381.063,0.40229,0.33645,1.23404,0.86705,0,0.84874,1,0.90071,0.84414,0.84874,1,0.90071,0.78318,0.46981,1.16077,1.81868,0.87609,0,0.0001784,0.0001784,0.0001784
48,388.807,0.47487,0.38799,1.24109,0.84735,0,0.98609,1,0.995,0.90733,0.98609,1,0.995,0.86508,0.4547,0.97293,1.71278,0.86505,0,0.0001388,0.0001388,0.0001388
49,396.578,0.43347,0.33679,1.23745,0.81323,0,0.98609,1,0.995,0.90733,0.98609,1,0.995,0.86508,0.4547,0.97293,1.71278,0.86505,0,9.92e-05,9.92e-05,9.92e-05
50,404.373,0.39557,0.37954,1.18637,0.89159,0,0.98633,1,0.995,0.90733,0.98633,1,0.995,0.86511,0.44453,0.80152,1.58311,0.85015,0,5.96e-05,5.96e-05,5.96e-05
